Kurs Jual,Kurs Beli,Tanggal
14618.73,14473.27,05/12/2022 00:00
14618.73,14473.27,05/11/2022 00:00
14606.67,14461.33,05/10/2022 00:00
14552.4,14407.6,05/09/2022 00:00
14490.09,14345.91,4/28/2022 12:00:00 AM
14484.06,14339.94,4/27/2022 12:00:00 AM
14524.26,14379.74,4/26/2022 12:00:00 AM
14432.81,14289.2,4/25/2022 12:00:00 AM
14419.74,14276.26,4/22/2022 12:00:00 AM
14422.76,14279.25,4/21/2022 12:00:00 AM
14418.74,14275.27,4/20/2022 12:00:00 AM
14427.78,14284.22,4/19/2022 12:00:00 AM
14420.75,14277.26,4/18/2022 12:00:00 AM
14430.8,14287.21,4/14/2022 12:00:00 AM
14435.82,14292.18,4/13/2022 12:00:00 AM
14441.85,14298.15,04/12/2022 00:00
14436.83,14293.18,04/11/2022 00:00
14430.8,14287.21,04/08/2022 00:00
14435.82,14292.18,04/07/2022 00:00
14419.74,14276.26,04/06/2022 00:00
14433.81,14290.19,04/05/2022 00:00
14435.82,14292.18,04/04/2022 00:00
14428.79,14285.22,04/01/2022 00:00
14420.75,14277.26,3/31/2022 12:00:00 AM
14435.82,14292.18,3/30/2022 12:00:00 AM
14431.8,14288.2,3/29/2022 12:00:00 AM
14412.71,14269.3,3/28/2022 12:00:00 AM
14432.81,14289.2,3/25/2022 12:00:00 AM
14422.76,14279.25,3/24/2022 12:00:00 AM
14429.79,14286.21,3/23/2022 12:00:00 AM
14412.71,14269.3,3/22/2022 12:00:00 AM
14411.7,14268.3,3/21/2022 12:00:00 AM
14361.45,14218.55,3/18/2022 12:00:00 AM
14382.56,14239.45,3/17/2022 12:00:00 AM
14392.61,14249.4,3/16/2022 12:00:00 AM
14399.64,14256.36,3/15/2022 12:00:00 AM
14377.53,14234.47,3/14/2022 12:00:00 AM
14369.49,14226.51,03/11/2022 00:00
14442.86,14299.15,03/10/2022 00:00
14465.97,14322.03,03/09/2022 00:00
14483.06,14338.95,03/08/2022 00:00
14454.92,14311.09,03/07/2022 00:00
14444.87,14301.14,03/04/2022 00:00
14421.75,14278.25,03/02/2022 00:00
14440.85,14297.16,03/01/2022 00:00
14442.86,14299.15,2/25/2022 12:00:00 AM
14426.78,14283.23,2/24/2022 12:00:00 AM
14433.81,14290.19,2/23/2022 12:00:00 AM
14400.65,14257.36,2/22/2022 12:00:00 AM
14410.7,14267.31,2/21/2022 12:00:00 AM
14372.51,14229.5,2/18/2022 12:00:00 AM
14349.39,14206.61,2/17/2022 12:00:00 AM
14363.46,14220.54,2/16/2022 12:00:00 AM
14409.69,14266.31,2/15/2022 12:00:00 AM
14430.8,14287.21,2/14/2022 12:00:00 AM
14415.72,14272.28,02/11/2022 00:00
14437.83,14294.17,02/10/2022 00:00
14456.93,14313.08,02/09/2022 00:00
14476.02,14331.98,02/08/2022 00:00
14447.88,14304.12,02/07/2022 00:00
14452.91,14309.1,02/04/2022 00:00
14418.74,14275.27,02/03/2022 00:00
14463.96,14320.04,02/02/2022 00:00
14452.91,14309.1,1/31/2022 12:00:00 AM
14456.93,14313.08,1/28/2022 12:00:00 AM
14417.73,14274.27,1/27/2022 12:00:00 AM
14429.79,14286.21,1/26/2022 12:00:00 AM
14398.64,14255.37,1/25/2022 12:00:00 AM
14418.74,14275.27,1/24/2022 12:00:00 AM
14425.77,14282.23,1/21/2022 12:00:00 AM
14441.85,14298.15,1/20/2022 12:00:00 AM
14396.63,14253.38,1/19/2022 12:00:00 AM
14394.62,14251.39,1/18/2022 12:00:00 AM
14381.55,14238.45,1/17/2022 12:00:00 AM
14382.56,14239.45,1/14/2022 12:00:00 AM
14373.51,14230.49,1/13/2022 12:00:00 AM
14370.5,14227.51,01/12/2022 00:00
14394.62,14251.39,01/11/2022 00:00
14431.8,14288.2,01/10/2022 00:00
14467.98,14324.02,01/07/2022 00:00
14436.83,14293.18,01/06/2022 00:00
14381.55,14238.45,01/05/2022 00:00
14341.35,14198.65,01/04/2022 00:00
14349.39,14206.61,01/03/2022 00:00
14340.35,14197.66,12/31/2021 12:00:00 AM
14336.33,14193.68,12/30/2021 12:00:00 AM
14308.19,14165.82,12/29/2021 12:00:00 AM
14296.13,14153.88,12/28/2021 12:00:00 AM
14290.1,14147.91,12/27/2021 12:00:00 AM
14322.26,14179.75,12/24/2021 12:00:00 AM
14335.32,14192.68,12/23/2021 12:00:00 AM
14420.75,14277.26,12/22/2021 12:00:00 AM
14455.92,14312.08,12/21/2021 12:00:00 AM
14414.72,14271.29,12/20/2021 12:00:00 AM
14414.72,14271.29,12/17/2021 12:00:00 AM
14408.69,14265.32,12/16/2021 12:00:00 AM
14419.74,14276.26,12/15/2021 12:00:00 AM
14417.73,14274.27,12/14/2021 12:00:00 AM
14449.89,14306.11,12/13/2021 12:00:00 AM
14422.76,14279.25,12/10/2021 00:00
14419.74,14276.26,12/09/2021 00:00
14480.04,14335.96,12/08/2021 00:00
14513.21,14368.8,12/07/2021 00:00
14480.04,14335.96,12/06/2021 00:00
14449.89,14306.11,12/03/2021 00:00
14424.77,14281.24,12/02/2021 00:00
14391.6,14248.4,12/01/2021 00:00
14411.7,14268.3,11/30/2021 12:00:00 AM
14351.4,14208.6,11/29/2021 12:00:00 AM
